topik,keyword,tweet,gambar,url,label
PLN,PLN diam-diam naikkan tarif lstrik,PLN Tidak Naikkan Tarif Listrik Non Subsidi. Pemerintah mendorong agar PT PLN (Persero) terus melakukan langkah efisiensi operasional dan meningkatkan penjualan tenaga listrik.  https://mediaindonesia.com/read/detail/389259-pln-tidak-naikkan-tarif-listrik-nonsubsidi,,https://twitter.com/mediaindonesia/status/1368871038797279235,0
stress,stress menyebabkan rambut rontok,,penyebab rambut rontok yang wajib kamu tahu,https://twitter.com/DiaryKiranti/status/1156130143431270400,0
daun jambu biji,daun jambu biji bisa sembuhkan diare,"Kalau biasanya kita menggunakan daun jambu biji untuk obat diare, ternyata kulit dari  buah rambutan ini memiliki manfaat yang sama, lho.
...
Face with medical maskDiare sendiri merupakan kondisi dimana seseorang buang air besar dengan konsistensi cair atau lembek",,https://twitter.com/HimagiUPNVJ/status/1280097624717062144,0
minum,minum teh sering kencing,"Gara-gara Sering Minum Teh dalam Botol Kemasan, Anak Ini Kencing Bercampur Darah: Gara-gara Sering Minum Teh ... http://bit.ly/2aWOUKu",,https://twitter.com/lenteranews_/status/766072926244265985,1
,,"Gue nunggu 
@FaheemYounus
 terus terang bilang OTG tidak menularkan virus. 

Mau tau reaksi yang baca.",,https://twitter.com/arifbsantoso/status/1418750924059594754?s=20,1
,,"JNCK nggilani pajak sembako sampe 12%, pajak makanan fastfood aja 10%",,https://twitter.com/dyo_uchi/status/1402947955695374338?s=19,1
,,"udah kak, gejala nya kmrn mayan termasuk parah engap, lidah gada rasa, batuk, demem tinggi, gabisa nyium dll. minyak kayu putih nya kmrn diminum juga",,https://twitter.com/nqvirgo/status/1409774560107401244,1
Sayap ayam,Sayap ayam dapat menyebabkan kanker,"Ternyata mengkonsumsi sayap dan ceker ayam bisa menyebabkan kanker ovarium, kanker serviks, dan kanker payudara.",,https://twitter.com/TeNeeNihasedLbs/status/494077976385171456,1
oatmeal,oatmeal bagus untuk diet,Fess sarapan oatmeal dan sari kacang kedelai bagus gak untuk diet?,,https://twitter.com/FOODFESS2/status/1224862807545352192,1
kas negara,kas negara kosong,Oh in vaksin hibah dari kadrun..lumayan lah dijual buat isi kas negara yg kosong..buat bayar utang...terus kan nanti tambah lagi dr pajak tukang bakso..,,https://twitter.com/Cyberkn__/status/1414381458341257219?s=20,1
Salak,Manfaat buah salak,Baru tau kalo salah satu manfaat buah salak itu bs meningkatkan kecerdasan otak. Tau gt aing dr dulu makan salak aja yg banyak ga usa belajar.,,https://twitter.com/sheillaaputrii/status/1236656531283689475,1
Boba,Boba dapat menyumbat usus,"Pelopor usus buntu, boba tsb menyumbat sirkulasi usus Smiling face with open mouth and smiling eyes",,https://twitter.com/baguswn/status/1165813109371457537,1
Tidur malam,Efek tidur larut malam,"Berasa mandi secepat kilat Wajah tersenyum berkacamata hitam,efek tidur larut malam bangun jadi kesiangan",,https://twitter.com/usniafianingsih/status/903050641970315264,1
susu beruang,susu beruang bisa membuat kulit putih,Susu Beruang Bisa Bikin Kulit Putih? Benarkah? https://ift.tt/2KWsOcN,,https://twitter.com/marissagunawan9/status/1146425446134927360,1
Matahari,Sinar matahari menyebabkan kanker kulit,Nomor satu penyebab kanker kulit adalah dari paparan sinar matahari. Kita sebagai warga negara Indonesia yang tinggal di negara dengan musim panas sangat panjang tentunya hal ini… https://instagram.com/p/BkY9E_Egrdn/?utm_source=ig_twitter_share&igshid=8c11dvf62l4b,,https://twitter.com/AndaTahu/status/1010704569062608896,1
,,Tanpa gua sadari didalem perut gua ada banyak zat lilinnya -_- tiap hari makan mie instan mulu.,,https://twitter.com/hennysiswaty/status/216061421576921088?s=20,1
,,"Indonesia masuk kategori A1 High Risk Covid. artinya negara manapun berhak melarang Indonesia masuk ke negaranya. TAPIII, pertanyaan w, knp WNA masih tetap masuk ke Indonesia?Upside-down face",,https://twitter.com/niasftr_/status/1408754841606787072?s=20,1
Bakso,Bakso mengandung boraks,http://goo.gl/P8QqEz Bakso Mengandung Boraks Ditemukan di Pusat Jajanan Medan,,https://twitter.com/Herbalna/status/742348548889542656,1
aloevera,aloevera bagus untuk rambut,Padahal ia pikir aloevera hanya sebatas bagus untuk rambut dan enak dimakan oleh manusia. Ternyata bukan hanya itu. Keren sekali tumbuhan ini.,,https://twitter.com/nighxfury/status/1191708888019566593,1
headset ,headset berbahaya,Alasan Mengapa Pakai Headset Bisa Berbahaya http://kplg.co/Arx3 #vemale,,https://twitter.com/VemaleDotcom/status/422344809425018882,1
Daun,Daun pepaya bermanfaat,"INFO BERMANFAAT

Juice Daun Pepaya Mentah Bermanfaat Menyembuhkan DBD

Dari Prof. A.A. Mattjik mantan rektor IPB... http://fb.me/8a3f9PBL4",,https://twitter.com/yakobus_edy/status/804204589524385795,1
Prabowo,Prabowo stroke ringan,"Prabowo Alami Stroke Ringan, Bisa Dilihat Dari Bentuk Bibirnya. Trus Gimana Dong?: http://youtu.be/t0GcOJ3ot0U?a ",,https://twitter.com/LendangGosip/status/1041486052362514433?s=20,1
coklat,coklat dapat menaikkan mood,"Retweet ""
@aryabening
: Semoga coklat ini bisa menaikkan mood yang sedang gundah gulana gulita..""",,https://twitter.com/tivaaperland/status/172601403099987968,1
Es krim,Es krim penyebab pilek,Mitos unik mengenai eskrim adalah Es krim penyebab batuk pilek.… https://instagram.com/p/BBPLyVQId67C5GMmTrzhpx6BGAxZN0XKA9a2GE0/,,https://twitter.com/owlgelato/status/694077540248461312,1
Manfaat,manfaat yakult,Manfaat Yakult http://mrsupel.blogspot.com/2012/10/manfaat-yakult.html?m=1,,https://twitter.com/SemutGus/status/275389284050149376,1
,,Pesan moral dari kisah ini: Sakit Maag dapat menyebabkan kematian. Jangan sepelekan sakit Maag! Ini gw serius. #ganyambung #bodoamat,,https://twitter.com/shirokumajanai/status/1057467764271603712,1
,,#ngasalbacot Cek paru-paru dan jantung agan dengan segalon air mineral - Part 2 http://bit.ly/ACOsw4 #kaskus,,https://twitter.com/outletsevenslot/status/173543727674032129?s=200,1
,,KaskusBerita: Akar Dandelion Bisa Bunuh Sel Kanker dalam 48 Jam https://goo.gl/fb/Ly7sdG #breakingnewshealth,,https://twitter.com/jsoumiie/status/810429068302839808?s=20,1
,,kemampuan detensif juga akan berkurang.. itulah sebabnya orang Vietnam santai saja dengan menyebarnya virus covid 19... Di Vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hari... Karena telah terbukti membunuh virus covid 19 secara total..,,https://twitter.com/Juwang_Muda/status/1413866095576944641,1
,,"Anti vax : siapa yang ambik vaksin ni kita semua akan mati lagi 2 tahun. 

*sambil hisap rokok dblend",,https://twitter.com/jndulz_/status/1402591704994123778?s=19,1
Prabowo,Prabowo stroke ringan,DOKTER TERAWAN JUGA PERNAH MENTERAPI STROKE RINGAN PRABOWO SUBIANTO.,,https://twitter.com/UciAnggraini14/status/1186948892434169857?s=20,1
Kacang,Kacang dapat menyebabkan jerawat,"Jika makan kacang menghasilkan jerawat, maka makanlah jerawat agar menghasilkan kacang",,https://twitter.com/km_seonho/status/1403001045983236096,1
PPKM,PPKM diperpanjang sampai akhir tahun,"PPKM diperpanjang sampai akhir juli, tahun ini qurban domba hago.",,https://twitter.com/nabimusaa/status/1416304939098198017,1
Kuaci,Manfaat kuaci,Untuk itu siang ini mimin mau bahas tentang manfaat kuaci bagi kesehatan Wajah tersenyum dengan mata tersenyum#IM3OoredooSumatera #IM3OoredooJBI #UnlimitedYoutube,,https://twitter.com/kantikantim3/status/1017613328510676994,1
WHO dan Indonesia,WHO indonesia high risk covid,yuhu indonesia sekarang termasuk kategori extremely high risk virus covid loh guysSmiling face with tear,,https://twitter.com/cloddre/status/1408070495925272577?s=20,1
jahe,manfaat jahe,"Minggu2 gelar lapak semoga ada yg berminat beli.mnuman herbal,dri rempah2 alami.membantu imun tubuh di msa2 pandemi.rsa enak hrga bersahabat bnyak manfaat.yg syg orang tua,untk drah tinggi,diabet,asam urat,tungkak lambung,yg lg insoma jga cocok lho jahe marah nya.tinggal seduhWajah tersenyum dengan mata tersenyum",,https://twitter.com/emak2daster/status/1421720647210655748,0
Boba ,Boba usus buntu,Bahaya loh itu boba kebanyakan bikin usus buntu,,https://twitter.com/ifasyalalaa/status/1189505605255327745?s=20,1
boraks,boraks berbahaya bagi tubuh,"Bukan hanya itu, tetapi aplikasi tersebut dapat mendeteksi adanya kandungan Formalin ataupun Boraks di dalam makanan kita. Jadi kita dapat informasi dalam makanan tersebut mengandung bahan-bahan yang berbahaya bagi tubuh kita. Dari informasi tersebut kita lebih berhati-hati dalam",,https://twitter.com/real_baw/status/1233353752200921088,1
,,Teh daun jati cina bagus untuk diet dan bagus untuk kesehatan minat ?mention aje☺,,https://twitter.com/putriaaamelia/status/257757112829091840,1
,,Baru tau kalo laptop di sleep bikin rusak. Gw malah di sleep tiap hari wkwk,,https://twitter.com/Salwanabillarr/status/1402340862906953731,0
lontong,lontong plastik berbahaya,"CETAKAN LONTONG SEHAT & PRAKTIS Uk. 4x12 Harga 55.000 isi 1 losin Gado-gado dan ketoprak makin enak dengan tambahan lontong, namun lontong yang dibungkus plastik BERBAHAYA bagi kesehatan. Zat polimer... https://facebook.com/100001743080317/posts/2242406112494136/",,https://twitter.com/Sobahus_syahdi/status/1127124489408532480,1
stress,stress menyebabkan rambut rontok,"Do you know? Ketika sedang mengalami stress yang ekstrim, telogen effluvium pd wanita akan meningkat, so menyebabkan banyak rambut rontok.",,https://twitter.com/ayunovasgz/status/589004379828527104,1
,,untuk penyakit jantung hindari es atau air es aids hindari sex bebas dan narkoba,,https://twitter.com/gatots92/status/762583812165382144,1
facebook,facebook akan ditutup,"PENTING BANGET nih Idol Lovers! 2 hari lagi #IdolRekomendasi di Facebook akan ditutup. Ayo, rekomendasikan teman/sahabat/saudara/pacar dengan cara upload video bernyanyi mereka di Facebook pribadimu.",,https://twitter.com/OfficialRCTI/status/1278237025187983361?s=20,1
Bali,Pulau Bali akan Dijual,Hahaha siap2 aja aset indonesia dijual semua haha. Semoga pulau bali dengan lombok dijual hahahahahahaaa,,https://twitter.com/raharjobakti/status/491489645507530752,1
Susu,Manfaat meminum susu,Manfaat meminum susu sebelum tidur : 1.mempermudah penyerapan kalsium 2.tidur lebih nyenyak 3.penunda lapar,,https://twitter.com/LSPR_MilkyDay/status/402443602774614017,0
zombie,zombie adalah pahlawan islam ,Ternyata Zombie adalah Pahlawan Islam http://dlvr.it/QzvmNs,,https://twitter.com/ayojalanterus_/status/1101241397212921856?s=20,1
,,Ternyata bawang putih mengandung antibiotik alami bisa sembuhkan flu & byk penyakit lainnya,,https://twitter.com/Duniapunyaku/status/341122116294438914,1
mata,mata jenazah covid diambil,"Mata Jenazah Pasien COVID-19 Diambil Diam-diam, Cek Faktanya http://dlvr.it/S4TWKy
 #cekfakta",,https://twitter.com/VIVAcoid/status/1419806896836415491,1
,,Harusnya lu lebih paham kalo pernah ngerasain . gimana panasnya peluru gas air mata kena kulit bisa melepuh itu,,https://twitter.com/silumankalabang/status/1314524561333874693?s=20,1
,,Apabila sudah di gosok2 dgn cincin emas warna bedak atau lipstik atau alat kosmetik lainnya berubah warna jadi hitam tandanya ada MERKURI,,https://twitter.com/yudhist123/status/113049166791458816,1
guntur,guntur soekarno putra meningal,#Berita #Terkini Beredar Kabar Guntur Soekarno Putra Meninggal Dunia  : Ayah mertua Puti Gun... http://bit.ly/1p6Hnv5 via {Tempo} #News,,https://mobile.twitter.com/BeritainYANGada/status/702723009442807808,1
Asi,Asi cegah corona,"Sudah tidak diragukan lagi ASI memiliki beragam manfaat untuk tubuh fisik dan psikolog bayi. Namun, bagaimana untuk mencegah terkena virus corona? Simak ulasan di atas yuk Moms!

Apa pun itu, selama masih… https://instagram.com/p/B_wsuu_lwUO/?igshid=1cmxrkirdfomd",,https://twitter.com/RS_BWCH/status/1257251716996698112,1
lontong,lontong plastik berbahaya,"CETAKAN LONTONG SEHAT & PRAKTIS Lontong yang dibungkus plastik BERBAHAYA bagi kesehatan. Zat polimer plastik yang terpapar panas proses memasak larut dan menyatu dgn lontong, zat polimer ini dapat menyebabkan kanker... https://facebook.com/yosni.alim/posts/2299806596971535",,https://twitter.com/yosnialim/status/1089404370930855936,1
KODE,kode babi pada makanan,KOD BABI pada makanan: petikan drpd WEB.. Salah seorang rakan saya bernama Syeikh Sahib bekerja sebagai pegawa... http://bit.ly/1aRmskD,,https://mobile.twitter.com/search?q=KOD Babi pada makanan&src=typed_query,1
tv,tv digital,"Perusahaan TV berlomba membuat TV dg resolusi tajam, begitu juga teknologi kamera. Gelombang digital didorong utk menggantikan gelombang analog utk meningkatkan kualitas gambar. Tapi untuk tayangan gambar budaya dan seni masih ada spot blurnya.",,https://twitter.com/Gatot_Yogantoro/status/1400614788170878977,1
Garam ,Garam mengandung pecahan kaca,Aina Kaget Garam Miliknya Diisukan Mengandung Pecahan Kaca - Banjarmasin Post http://fb.me/5Y2bwZN2k,,https://twitter.com/ayhudiyaaa/status/896016883043844097?s=20,1
jahe ,jahe mencegah corona,*Ikhtiar mencegah virus corona dengan JAHE MERAH* Alhamdulillah telah hadir *Jahe Merah* Jahe merah telah banyak dipromosikan sebagai penguat daya tahan tubuh dalam rangka mencegah Virus Corona (Covid-19). Maka… https://instagram.com/p/B91BKvEl1gN/?igshid=180cwcse5ke0a,,https://twitter.com/rajudin_3891/status/1239834178243325953,1
wortel cina,wortel dari cina bisa membuat bodoh,*WORTEL DARI CINA YANG BISA MEMBUAT BODOH ANAK* Check it out at: http://ift.tt/2ixr6kC #steem #photography #drone,,https://twitter.com/flyingcamm/status/901483192359759873?s=20,1
,,"Orang sehat ga perlu di test. OTG tidak menular. 

Ngapain semua orang di tes? Bisnis?",,https://twitter.com/akundihackmulu/status/1357906864445378560?s=20,1
Tidur malam,Efek tidur larut malam,Badan udah mulai gk fit 2hari ini:& efek tidur larut malam kali yah,,https://twitter.com/_srvgt/status/607911053813383169,1
Virus HIV,Virus hiv dimasukkan kedalam pembalut,"K-Sophie Pantyliner: pembalut harian organ intim, cegah bakteri, jamur, keputihan dan cegah byk penyakit berbahaya ##klink",,https://twitter.com/KLinkProduk/status/1421333769424760833,1
,,"Christian Eriksen, a perfectly fit soccer player who plays for one of the top soccer teams in the world and has the best medical attention, collapsed on the field today due to heart failure. Thanks God they were able to bring him back to life. He was given Pfizer a few days ago",,https://twitter.com/ya_yo2/status/1403775444298735617,1
Minum,Minum kopi bikin mata melek,Karna Kopi item ngalah ngalahin Kopi mahal buat bikin mata melek dan nunggu PANGGILAN ALAM - Kagak tau dah ALAM lagi dmana ... mungkin Veti Vera tau - Gak lucu njirrrr Melanie… https://instagram.com/p/B09xEGoHQoN/?igshid=gbhxd8uvzltg,,https://twitter.com/melaniesubono/status/1160000608197206016,1
anjing zionis,anjing zionis penggangu sholat,"Anjing Zionis Israel Dilatih untuk Menerkam Orang Salat, Cek Faktanya http://dlvr.it/RztDlk #cekfakta",,https://twitter.com/VIVAcoid/status/1394578140672843776?s=20,1
