tweet,label
"Selain ampuh untuk menyembuhkan berbagai penyakit, daun kelor juga nyatanya bermanfaat untuk menunjang kecantikan kulit.  #khasiatdaunkelor",1
"Cara gampang tahu kandungan merkuri pada kosmetik: oleskan pada emas, jika emas luntur pasti ada merkuri. Kalo krim berubah hitam berpotensi",1
Tak aneh jika Gajah Mada beragama islam Sebab dari sononya udah keblinger dan bertujuan menjajah.,1
FAKTA :- Banyak Makan Timun Boleh Menyebabkan Keputihan MELAMPAU :3,1
"Awas, Melewatkan Sarapan dan Telat Makan Malam Berbahaya bagi Jantung http://bit.ly/2UvQQeI",1
Ada beberapa manfaat rutin minum air rebusan pare untuk kesehatan seperti mengobati kanker. #pare,1
"saya ga bilang artikel dibawah benar, [HOAX] Covid-19 Adalah Bakteri yang Terpapar Radiasi, Sumber: Kementerian Kesehatan Rusia https://covid19.go.id/p/hoax-buster/salah-covid-19-adalah-bakteri-yang-terpapar-radiasi-sumber-kementerian-kesehatan-rusia… Tapi kenapa juga Russia bikin vaksin Suptnik 5?",1
Polisi Banyumas Ungkap Produksi Gula Merah Palsu http://dlvr.it/P8LWZC,1
"u*Semua aktifitas HP dll....terpantau 100%* *Mulai besok Senin, 18 Maret 2019 dan seterusnya ada peraturan komunikasi baru.* *Setelah dilantikn ya Badan Siber & Sandi Nasional (BSSN), oleh Bpk Jokowi , Presiden... https://facebook.com/FitKom.SKom/posts/10213228321601489",1
Berita Terbaru Hari Ini 2 Februari 2016 - Ketika AHOK Mengucapkan Dua Kalimat Syahadat: http://youtu.be/sd_k_GSNyBY?a via @YouTube,1
"Ternyata betul.. Pangolin itu kita kenal dengan nama trenggiling...dan sekarang terancam punah karena diburu untuk obat (sisiknya), dan dimakan (dagingnya). Manusia, serakahnya...",1
Jenny Mc Charty artis Hollywood mantannya Jim Carey yg punya anak autis & menyatakan penyebab autisnya krn vaksin MMR,1
"MGKN INI BIANG PENYEBAR VIRUS ITU.. 
Saya dpt info ini seminggu yg lalu ada pesawat jet melintas 
Saya baru ngeh dan teringat cerita dari seorang Teman yg paham soal Teori Konspirasi ""CHEMTRAIL"" ..
 
Dan setelah itu mendadak covid merajalela
😲😳",1
Merokok itu salah satu pencegahan CORONA buk... Itu arahan dari WHO ... gmn sih ibu ini ?,1
"Kalau sakit kepala mikirnya langsung kanker otak, kalau mimisan mikirnya langsung kanker darah. Pengaruh sinetron/film sangat besar. #BD",1
Menatap payudara wanita beberapa menit sehari bisa tingkatkan kesehatan pria dan perpanjang usia 4-5 tahun | http://bit.ly/yJpnvb #sbyTips,1
"Banyak orang percaya bahwa emping yang berasal dari melinjo bisa menyebabkan asam urat. Padahal yang menyebabkan asam urat dari emping bukanlah melinjonya, tapi proses penggorengan dengan minyak yang menaikkan kadar lemak pada emping.",0
"3. Bunga kenop cocok digunakan sebagai obat herbal untuk mencegah timbulnya penyakit dalam tubuh.Bukan hanya bunga bulatnya,hampir semua bagian tanaman mulai dari daun,akar,dan batang tanaman bisa menjadi ramuan obat.Manfaat bunga kenop di antaranya adalah,melawan sel-sel kanker,",0
"pusing,lieur,leuneung,jangar,euy dampak makan sate sapi,kambing!!",0
siram aja dek kalo ketemu org ini pake soda biar keluar cacing pitanyeee,1
"Manfaat Super Srikaya bagi Kesehatan, dari Jantung sampai Mata https://goo.gl/pyc1CP",0
"Ini alasan teh hijau bisa cegah kanker pankreas
Teh hijau dan ekstrak teh hijau telah lama diketahui memiliki... http://fb.me/2ZZob798u",1
Kenali Manfaat Dan Efek Sampingnya Sebelum Mengkonsumsi Daun Pepaya Jepang https://goo.gl/fb/b6Qk9B,1
"Viral Video Berisi Tayangan Garam Beryodium Mengandung Pecahan Kaca, BPOM Turun Tangan http://jateng.tribunnews.com/2017/08/14/viral-video-berisi-tayangan-garam-beryodium-mengandung-pecahan-kaca-bpom-turun-tangan… lewat ",1
"5 Manfaat Lendir Siput untuk Perawatan Kecantikan, Berani Coba? http://bit.ly/2QyxK69",0
"Khasiat ciplukan bejibun! Dari buat diabetes, hipertensi sampai sangat bermanfaat bagi ibu hamil… https://instagram.com/p/BP8zU4gBIWl/",1
masyarakat semakin bergantung pada layanan digital,0
Chemical Trail : upaya pesawat asing membuat semburan/awan buatan di langit Indonesia untuk menyebarka virus,1
"Kita semua tentunya tahu oatmeal bagus untuk diet. selain bagus untuk menghilangkan lemak jahat, oatmeal juga bisa menghilangkan kolestrol",1
Alhamdulillah saya masih hidup di negara yang benar.. Smoga UU LGBT segera disahkan #ILCLGBT,1
Jeruk Nipis/Lemon. Jeruk nipis/lemon salah satu solusi untuk menghilangkan jerawat. Campurkan perasan jeruk nipis dgn madu. Oleskan kewajah.,1
Pakar UGM: Jambu Kristal Tak Bisa Tangkal Covid-19,0
"Biaya Cuci Ginjal Hanya Rp.10.000 Saja

Bertahun-tahun Ginjal menyaring darah dgn cara membuang: Garam, Racun &... http://fb.me/7DKJEUCW1",1
"Pembeli Harus Selektif, Ada Mi dan Bakso Mengandung Boraks Dijual Bebas http://manadosiana.com/2018/02/06/pembeli-harus-selektif-ada-mi-dan-bakso-mengandung-boraks-dijual-bebas/",1
Jadi JAMAAH Haji Indonesia DITOLAK bukan Karena LEMAHnya Penanganan Terhadap Covid 19 TAPI GAK ADA UANG untuk BAYAR HAJI? Gimana tuh ,1
"New post (Waspada, 5 Campuran Jus Buah dan Sayur Ini Ternyata Berbahaya) has been published on Berita Menarik ... - http://terbaru.biz/waspada-5-campuran-jus-buah-dan-sayur-ini-ternyata-berbahaya/",1
salah satu fakta unik saat musim hujan dan angin saat ini adalah jumlah angka ibu hamil akan meningkat pesat. Hehe,1
Fitnahmu bisa bahayakan anak bangsa >> Ini Penjelasan Dinkes DKI Soal Kabar Vaksin HPV Sebabkan Menopause Dini >> https://news.detik.com/berita/d-3356564/ini-penjelasan-dinkes-dki-soal-kabar-vaksin-hpv-sebabkan-menopause-dini,1
makan rambutan banyak. batuk tak berhentiFace with cold sweat,1
"Kita jangan diam saja, hajar nih si Menag kok seenak jidatnya menghapus pend. Agama, perlu juga kita tahu, agama si Menag ini apa toh Selamat Tinggal Sejarah Islam""Kemenag Menghapus Kurikulum Pendidikan Agama di Madrasah Kata Khilafah dan Jihad https://pesisirnews.com/NASIONAL/-quot-Selamat-Tinggal-Sejarah-Islam-quot-Kemenag-Menghapus-Kurikulum-Pendidikan-Agama-di-Madrasah-Kata-Khilafah-dan-Jihad#.Xfhzm6Vnxvp.facebook",1
"Kartu nikahnya , ada 4 kolom kebawah , tiap kolom bisa diisi 1 nama. Klu ud penuh gak boleh nikah lagi",1
Xanana Ingin Timor Leste Bergabung Lagi Dengan Indonesia: http://youtu.be/e8tq1UoBhPY?a ,1
"Menjawab Mitos Ibu Hamil Tidak Boleh Makan Durian, Ternyata…",0
"Ritwiitt.. Hei kmu baca ini yaa.. Boleh minum aer dingin (◦ˆ⌣ˆ◦) RT 
@drMetiMetiani
: ""Air es tidak berbahaya jika dikonsumsi saat menstruasi""",1
Bunga Kenop yang biasa menjadi bunga hias ini memiliki  banyak manfaat bagi kesehatan  seperti radang dan sesak napas,0
"Ini Risiko Penyakit Ibu yang tak Berikan ASI: HORISONJAKARTA, (PRLM).- Dampak memberikan susu formula ternyata... http://bit.ly/1UHBoIw",1
Selamat hari tanpa tembakau. tembakau bermanfaat jika digunakan sebagai pestisida nabati,1
"Angka kematian di India sudah > 200.000 jiwa, penanganannya sudah dengan kremasi massal.",1
"Bingung Gimana Bisa Bikin Kulit Cantik dan Putih, Ternyata Susu Beruang Bisa Lho, .. http://manadokota.com/?open=content&id=657",0
#Manfaat #Ikan #Gabus Kelebihan dan manfaat Ikan gabus adalah : 1. Pembentukan & Pertumbuhan Otot Ikan gabus... https://fb.me/3niDKWIqw,1
"Mencegah kanker hingga menyehatkan jantung, ini manfaat bunga pepaya yang jarang diketahui orang https://gaya.tempo.co/read/1282003/4-manfaat-bunga-pepaya-ini-jarang-diketahui-orang?utm_source=Digital%20Marketing&utm_medium=Facebook&utm_campaign=Gaya_Ika",0
kebijakan publik dibuat untuk kepentingan masyarakat luas,0
"Saat Rakyat Menolak Import Beras, Garam, Kedelai, Ubi, Jagung Dan Cangkul... Pemerintah Sudah Impor JAHE Mantap Pak Jokowi... Pejabat Makmur.. Petaninya Hancur... Rezim Menyengsengsarakan Rakyat... !! Saya Ulangi lagi yaa..biar nggak diketawain.. MENYENGSENGSARAKAN RAKYAT",1
"Sering kita tak tahan untuk menolak Ikan, ayam, atau makanan lain yang diolah dengan cara dibakar.Rasanya lezat dan nikmat! Namun, makanan dibakar akan menyebabkan beberapa bagian menjadi gosong. Makanan yang dibakar bisa meningkatkan risiko kanker perut, usus besar dan pankreas.",1
"HOAX : “Tarik Dana Haji, BPKH Ancam Masyarakat Tak Dapat Berhaji Lagi Seumur Hidupnya”. #hoax",0
Yakin pemerintah pakek Vaksin sinovac Dari WHO aja udh bilang paling vaksin paling lemah. #Jakarta #pemerintahanindonesia #indonesia,1
Makan mie instan campur nasi ternyata berbahaya. Padahal banyak yang doyan dan enak banget. Apa bahayanya? Baca... https://fb.me/7wLzMvyiq,1
Saya baru tau kalo tidur sambil dengerin musik pake headset itu berbahaya. ,1
"LUWAK WHITE KOFFIE MENGANDUNG UNSUR BABI..???

Beredar info permasalahan product Luwak White Koffie yang diduga... http://fb.me/85EQ0XLvP
",1
,0
"Afwan, baarokalloohu fik ...... KAPUSPEN MABES TNI MAYJEN SISRIADI Mengatakan ..... Bahwa MAHASISWA bisa minta BANTUAN ke KODAM jika ingin di dampingi saat gelar UNJUK RASA. Dia menyebut KEWENANGAN itu sudah bukan… https://instagram.com/p/B3M1SwspVJy/?igshid=8qqndx3rh61e",1
"akhirnya memutuskan memberhentikan Faizan nonton upin ipin, sedikit bawa dampak negatif karna tiap makan ayam goreng yg bagian paha dia narasi upin ipin dulu ada kali 2-3 menit baru gigit ayamnya. lamaaaa membuat mamak kesel, dampak positifnya anak uwe jadi fasih bahasa melayuWajah dengan air mata bahagia",1
"Katanya kebun binatang tertua di Indonesia,ngurus satwa begitu aja gak becus.mungkin makanan satwanya dikorupsi makanya pada kurus trs mati",1
"Wkwk tau ga mie instan, dan segala micin2an yang kalian makan itu beresiko juga buat bikin kanker",1
[Hoax] Uang Pangkal Masuk Undip Rp87 Miliar https://detax.org/issue/xe5 via,1
ppkm ga felleng akhir tahun sisan ta? Magak lek ate ngejurno wong2.,1
"Kalo versi aku, yg bener itu rambut rontok bikin stress, bukan setres menyebabkan rambut rontok.",1
"Bukti bahwa kucing mempunyai nyawa 9: Tertancap panah seekor kucing masih hidup, merupakan bukti bahwa kucing me.. http://bit.ly/15Je7m",1
Aturan Konsumsi Minyak Kelapa untuk Sehatkan Jantung http://dlvr.it/Q9bJMX,0
,0
Lebih baik tidak vaksin. Moderna termasuk salah satu vaksin yg paling berbahaya.,1
Sehat Dan Murah!! Biaya Cuci Ginjal Cuma Rp. 10.000!! TOLONG SHARE INFO INI YA!! http://goo.gl/fb/uTyqDQ,1
"Share ah, siapa tau ada manfaat buat yang baca ha ha ha.
Jadi, gw udah 4 tahun nih jadi manusia yang suka sayur, segala sayur, padahal dulu sebelum gw kuliah mana ada dalam kamus gw makan sayur. Daun bawang dan seledri pun dibakso gw sisihin singkirin, mati matian gak mauWajah dengan air mata bahagia",1
[CHEMICAL UPDATE] Tau gak sih? kertas struk ATM dan belanja itu berbahaya bagi tubuh jika tidak diperlakukan dengan benar? Yuk kita kenali bahaya dan penanganan yang tepat untuk kertas… https://instagram.com/p/B3dsbWpp3pI/?igshid=ziwn2xdeyofc,1
Masker merusak imun tubuh ..,1
"Sering denger kalimat ""yg berlebihan itu ga baik"" atau ""makan mie instan bisa bikin kanker"". Its true. Buat yg suka bgt makan mie instan, sering nunda lapar, dan langsung tiduran abis makan, WAJIB BACA INI! Wajah sedikit senyumhttps://today.line.me/ID/article/rvZ3nY?utm_source=ttshare… #LINETODAY",1
"Resiko begadang: kelaparan, kesakitan(maag), kematian-_-",1
Mentri Nganu buat Gebrakan Gila pisan dia Ingin Menghapus Sejarah Perang dlm Kurikulum SKI dan mencabut pula Pendi2kan Agama dari UU Pesantern. Kayanya Pesanan agar dia terhindar Dari Kasus Jual Jabatan d kemenag yg menyeret nya,1
"Peneliti Temukan 6 Jenis Virus Corona Lain pada Kelelawar, Berbahaya kah? https://topinfo.id/2020/04/12/peneliti-temukan-6-jenis-virus-corona-lain-pada-kelelawar-berbahaya-kah/",1
*Ikhtiar mencegah virus corona dengan JAHE MERAH* Alhamdulillah telah hadir *Jahe Merah* Jahe merah telah banyak dipromosikan sebagai penguat daya tahan tubuh dalam rangka mencegah Virus Corona (Covid-19). Maka… https://instagram.com/p/B91BKvEl1gN/?igshid=180cwcse5ke0a,1
" @FoodFezt
 #resolusi2011 bisa berenang dan menambah tinggi badan \(»'⌣'«)/'",1
"Ayo teman-teman PNS, teman-teman yg berpenghasilan lebih, kita jajan saja. Kita beli, kita borong dagangan sedulur2 kita. Mari saling menguatkan.",1
"Vaksin COVID 19 telah terbukti menyebabkan alat kelamin pria membesar setidaknya  20%. Fitur yang tidak terduga ini dapat membangkrutkan pasar pil pembesar penis, dan mungkin itulah sebabnya vaksin dihalangi oleh beberapa orang. Studi serupa dan menjanjikan sedang dilakukan untuk",1
"Karna selain bisa menjadi media penularan virus juga dapat menyebabkan hamil, jadi mending kamu renang dibak mandi dulu aja",1
"#DIYtempe Wida Winardo founder Indonesian Tempe Movement bercerita soal sejarah hingga manfaat tempe. ""Kalau makan tempe tiap hari seperti memberikan pelindung pada pencernaan"" #belajarmenempe",0
IDI Tak Rekomendasi Obat Ivermectin untuk Pasien Covid-19,0
"5. Virus corona (Covid-19) tidak bisa ditularkan melalui gigitan nyamuk
Sampai saat ini belum ada informasi atau bukti yang menunjukkan bahwa Covid-19 dapat ditularkan oleh nyamuk.

#KKMUNTIRTA30 
#KKMUNTIRTAJAWARA2020",1
"Ayah Jual Ginjal untuk Kuliah Anak di Unsoed, Ditolak Istri: 'Iya pak saya udah larang keinginannya (menj... http://bit.ly/1HisDdE",1
rumah sakit meningkatkan pelayanan kesehatan bagi pasien,0
"(makanan yang mempunyai efek sebagai obat untuk diet golongan darah O):
jahe, kailan, kunyit, Daging (sapi, kerbau, rusa, domba, anak sapi),",1
Akar Kayu Bajakah Kering Obat Tumor Dan Kanker Dari Kalimantan Tengah Asli,1
"Misinformasi Suara Azan Dapat Melemahkan Virus Corona - http://Tirto.ID
 https://tirto.id/eNsG?utm_source=Twitter&utm_medium=Share
",1
Banyak yg tak sadar sering memakai masker sembarangan dan berganti-ganti macam masker memicu & memparah jerawat #MaskerWajah #ZhafrahTips,1
#Berita #Terkini Beredar Kabar Guntur Soekarno Putra Meninggal Dunia  : Ayah mertua Puti Gun... http://bit.ly/1p6Hnv5 via {Tempo} #News,1
Satu Harapan: Indonesia Akan Didera Gelombang Panas Mematikan http://satuharapan.com/read-detail/read/indonesia-akan-didera-gelombang-panas-mematikan lewat @1harapan,1
"DAHSYAT,!! TEH DARI AKAR ( DANDELION ), BISA BUNUH SEL KANKER HANYA 48 JAM,! BEGINI CARA MERACIK RAMUANYA. http://updateterbaruu.tk/index.php/2015/11/03/dahsyat-teh-dari-akar-dandelion-bisa-bunuh-sel-kanker-hanya-48-jam-begini-cara-meracik-ramuanya/",1
"Yg bilang Erdogan cium tangan jg siapa..? Gak mungkin jg cium tangan.. 😉 Tp dr gesture itu jg terlihat bhw Erdogan ""buru2"" nyambut toss punch nya Biden sblm sempat berdiri sempurna.. Dr situ kita bisa nilai bagaimana psikologis Erdogan kpd Biden.. Iya apa nggak..? 🤣😂😅🏃🏃🏃",0
Apakah Satu Baskom Air Garam Mampu Datangkan Hujan dan Usir Asap? http://fb.me/7Ralehc1V,1
ASTAGHFIRULLAH TERNYATA ANALOG STICK PS TERBUAT DARI KULIT HIDUNG ANJING! PENYESATAN AKHLAK! https://twitter.com/UnusuaIlmages/status/912443708645298177,1
"Selamat datang TKA China, silahkan kerja di Nusantara dengan gaji tinggi, biar kami yang sabar",1
Bawang Merah kabarnya bisa menyerap kuman/bakteri penyakit. Kupas dan letakkan di ruangan #sekilasHerbal,1
PLN Tidak Naikkan Tarif Listrik Non Subsidi. Pemerintah mendorong agar PT PLN (Persero) terus melakukan langkah efisiensi operasional dan meningkatkan penjualan tenaga listrik.  https://mediaindonesia.com/read/detail/389259-pln-tidak-naikkan-tarif-listrik-nonsubsidi,0
Indonesia Akan Didera Gelombang Panas Mematikan | Iptek | DW | 20.06.2017 http://snip.ly/6td8d,1
"Mending gak usah divaksin tau gitu mah, di vaksin gak ngaruh malah positif covid juga kan, lebih parah lagi banyak kasus kematian gegara abis di vaksin.",1
"Bunda, Kalau Masak Nasi Perbanyak Airnya yaa..! Air Rebusan Beras (Tajin) Bermanfaat Loh Bagi Kesehatan http://ift.tt/1P0zal9",1
"Kebiasaan Menyimpan Struk Belanja Ternyata Bisa Berbahaya, Lho! http://alljatim.com/peristiwa/kebiasaan-menyimpan-struk-belanja-ternyata-bisa-berbahaya-lho/…",1
"dibilangnya god ya, tapi kan cuma di dalem game jadi ya jangan dianggep serius(?), ya inti nya sih emang bahaya ya kita anggep mereka god beneran, jadi kalo kamu mau cari aman mending gausah main sih nder, apalagi gacha aja emang udah haram :(",1
"HEBOH! Anak Lemas Setelah Makan Permen Susu Mengandung Narkoba di Banyumas, Ini Kata BPOM >> https://goo.gl/MdcTHM",1
"PP Muhammadiyah tak Keluarkan Fatwa Haram Pilih PSI #FatwaHaramPilihPSI http://jpnn.com/news/pp-muhammadiyah-tak-keluarkan-fatwa-haram-pilih-psi
",0
Memandang Payudara 10 Menit Tiap Hari Perpanjang Umur Pria 5 Tahun http://fb.me/3PdsqoS24,1
Yuk GAS.. bentar lagi subsidi GAS 3kg dicabut loh.. utk kesejahteraan rakyat dan berkeadilan.,1
I just published “Indonesia Akan Didera Gelombang Panas Mematikan” https://medium.com/p/indonesia-ak,1
"@droz_ttv
 sering kebetulan ne, terakhir kmrn bahas ""tdk bole minum air es kl br olah raga"" ne HrD km meninggal krn pecah pembuluh darah.",1
"Selain menjaga kesehatan katanya serbuk herbal dari mulai jahe, temulawak dll bisa mencegah kita terkena virus Corona . Nih ane jual serbuk herbal home Made buatan sendiri . https://youtu.be/dhlsA2gGAvY",1
Hati-hati hoax beredar di WhatsApp yang isinya koneksi internet gratis 20GB. Ini penjelasan Ahli Digital Forensik Ruby Alamsyah bahaya mengklik tautan tersebut.,0
"Bunga megapuspa tadi jam 14 mekar di puncak Jayawijaya, selama 33 thn baru mekar lagi, di dunia hanya ada di puncak Jaya",1
"Wah Parah, Dinkes Razia Sarden di Minimarket, Saat Ikan Dibelek Keluar Cacing Masih Hidup… http://dlvr.it/QN3KhB",1
Novi Amalia model cantik bertingkah lagi. Diduga novi mengalami Skizofrenia/kepribadian ganda.(Sumber: Metrotv),1
"#Populer KISAH MENYEDIHKAN ANAK YANG TERLALU BANYAK IKUT LES, KINI KENA GANGGUAN JIWA Kisah yang sungguh membuat... http://fb.me/4QniwtSid",1
"Air mawar memiliki berbagai manfaat untuk kesehatan kulit, termasuk menenangkan kulit yang iritasi dan membantu menyamarkan tanda-tanda penuaan.",0
Enak ini jamu kenyang,1
Ternyata Bawang Putih bisa Sembuhkan Obat Flu dan Batuk http://goo.gl/fb/voN0SO,1
"MUI tidak pernah memberikan label halal pada asbak rokok.

Selengkapnya di https://bit.ly/35AAb1F #LawanHoax",0
"[SALAH] Virus Corona Adalah Sejenis “Jamur Atau Mould”

Penyebab wabah COVID-19 adalah SARS-Cov-2 yang menurut WHO adalah masuk keluarga virus, BUKAN jamur.

Selengkapnya di https://bit.ly/2wnTX2H
 #CoronavirusFacts",0
Sepertinya dampak akibat makan mie instan setiap hari mulai terasa di otakku,1
"Kalo Kim Jong Un beneran meninggal, terus diganti sama adik perempuannya, Kim Yo Jong, sebagai supreme leader, damn diktator perempuan pertama di dunia",1
"#kaskus | Cek paru-paru dan jantung agan dengan segalon air mineral - Part 2 http://bit.ly/y2nU7L 
@_krebo",1
"Aku udh vaksin (1&2) , malah d aku engga bereaksi apapn (demam, flu atau mudah lelah). Yang penting jaga kesehatan sblm dan ssdh vaksin . Trs pesan dokter setelah vaksin gaboleh minum soda/alkohol/es dan jangan makan jnkfd selama seminggu, alhamdulillah aku sehat trs after vaksin",1
"Jual Semut Jepang Di Jogja: Budidaya Semut Jepang     Manfaat Semut Jepang, Jual Semut Jepang, Semut Jepang Mu... http://bit.ly/1xOMzCi",1
"Waduh, Ternyata Kepala Ikan Mengandung Racun... Lho, Kok Bisa Ya? http://dlvr.it/Nsccdr",1
"Varian baru virus corona ditemukan lagi, kali ini di Perancis. Anehnya, mutasi virus dari varian baru ini membuatnya tidak terdeteksi tes PCR.",1
Inilah Sebab Laki-laki Dilarang pakai Emas http://dlvr.it/NfgPMY,1
Ketika AHOK Mengucapkan Dua Kalimat Syahadat: http://youtu.be/cTYyHvFLjps?a melalui @YouTube,1
ati2 ta.bukan cuma efek micin tapi efek masako.denger2 mengandung kaldu babi.hahahahhà,1
"Walau terlihat mudah, ternyata masak nasi bisa berbahaya jika dilakukan dengan cara ini. Masak nasi bisa membuat kita semua menderita penyakit mematikan.",1
Kode E tidak dapat mengidentifikasikan bahwa bahan tersebut mengandung babi.,0
Makan manis membuat gigi berlubang,0
Minum yakult setiap hari sayangi ususmu dan jangan lupa bahwa yakult terbuat dari sperma sapi sekian terima kasih,1
ini dampak makan steak masih berasa diperut -_-,1
Tim Keamanan Pangan Kab. Tegal Temukan Bakso Mengandung Boraks Selengkapnya http://tegalkab.go.id/news.php?id=2882… #PemkabTegal #infotegal,1
"Mengurangi bau amoniak pada kolam ikan
meningkatkan nafsu makan
menekan pertumbuhan jamur patogen
mempercepat proses pertumbuhan

* manfaat bagi ternak
 meningkatkan Mafsu makan dan pertumbuhan ternak",1
Njir :'v gw ama ponakan gw doyan banget :'v stop makan kinder joy :'v memicu kanker cuwk :'v http://fb.me/2DJY64LsD,1
"Waduh..Ternyata Kepala Ikan Mengandung Racun, Nah Lo..Kok Bisa ? http://dlvr.it/NsYRpC",1
Adnan TeKaJe2: Bahaya Sayuran kangkung mengandung LINTAH: http://adnan-tekaje2.blogspot.com/2013/02/bahaya-sayuran-kangkung-mengandung.html,1
Jual akar kayu bajakah obat kanker.,1
"Serius, lama gak minum kopi bikin mata awet melek sekalinya minum plisss ini udh jam… https://instagram.com/p/BQ_IbwOhUwp/",1
"RT 
@halalcorner
: 4.c.Pengg ginjal KERA,SEL KANKER MANUSIA,SERUM dr SAPI yg sembelihanny tdk Islami,ENZIM BABI utk pmbuatan bbagai jns vaksin",1
Darah O itu 1. disukai nyamuk 2. Ambisius 3. Orator 4. senang menolong 5. Kekanak2an 6. Tidak total 7. Sombong?? ... #AmbilPostifnyaSahaja,1
Menelan Sperma Bisa Menyebabkan Hamil? http://dlvr.it/KWVCY3 #Kesehatan #beritamakassar,1
#GayaGADIS Good news! Pasta gigi bisa hilangkan komedo! http://ow.ly/Y9ba5 (Foto: Fotosearch),1
Wah gila gajah berkaki lima ,1
"Pare dapat membunuh sel kanker !!! Potong 2-3 irisan tipis pare taruh dalam gelas,tuang air panas, air akan menjadi alkalin(basa),minum setiap hari,terhadap siapapun akan bermanfaat. Tdk membunuh SEL SEHAT !",1
JANGAN DIABAIKAN KEMATIAN Mengintai Anda JANGAN MANDI DI 3 WAKTU INI KERANA Dapat Menyebabkan KEMATIAN Berikut... http://fb.me/1mr0fom0d,1
Banyak yang percaya bahwa tusuk jari adalah pertolongan pertama yang paling tepat saat serangan stroke terjadi. Padahal faktanya hal tersebut tidak membantu penderita mengurangi rasa sakitnya lho justru bisa membuat orang yang mengalaminya semakin menderita...,0
"Tuhan trimakasih, karna sudah memgirim orang baik untuk bantu warga yg terdampak dg sumbangan Rp 2 TRILIUN tanpa nyinyir ato nyalahin pemerintah , amin .",1
"Berdasarkan hasil uji klinis, vaksin Sinovac terhadap ratusan anak dinyatakan aman dan bermanfaat melindungi anak dari Covid-19",0
Terlalu banyak konsumsi teh sebelum makan (perut kosong) dlm jangka panjang akan menyebabkan maag kronis & tukak lambung lho..,1
"#MGTNews PT Pertamina (Persero) menegaskan tidak menutup layanan pengisian bahan bakar minyak (BBM) di SPBU selama PPKM Darurat. Sebelumnya, beredar kabar bohong (hoax) SPBU Pertamina tutup sementara dari 12-17 Juli 2021.",0
